"","Country","Total.Job.count","Job.count.2020","Avg.Cov19.cases.2020","Job.count.2021","Avg.Cov19.cases.2021","Job.count.2022","Avg.Cov19.cases.2022"
"1","US",541,30,53623,100,91462,411,158462
"2","GB",66,4,7350,14,30622,48,41353
"3","DK",4,1,458,3,1805,0,0
"4","BO",1,0,0,0,0,1,2106
"5","PH",1,0,0,1,6484,0,0
"6","AU",5,0,0,0,0,5,40902
"7","AL",1,0,0,0,0,1,486
"8","PT",6,2,1092,1,2778,3,17139
"9","NL",8,1,2196,2,6420,5,22525
"10","CA",32,1,1,11,1,20,1457
"11","IN",31,6,28158,17,67352,8,40775
"12","FR",17,5,7164,8,21141,4,104238
"13","BR",5,0,0,3,40032,2,51624
"14","PR",2,0,0,0,0,2,2701
"15","DE",31,7,4822,16,14918,8,106028
"16","AR",1,0,0,0,0,1,16537
"17","BE",4,0,0,2,4043,2,10024
"18","ID",2,0,0,0,0,2,8787
"19","AT",5,2,986,1,2513,2,15623
"20","CU",1,0,0,0,0,1,618
"21","TR",4,0,0,3,19928,1,30855
"22","SG",2,0,0,1,606,1,6625
"23","EG",1,0,0,0,0,1,556
"24","GR",11,1,381,1,3018,9,14715
"25","ES",14,2,5440,6,13065,6,28171
"26","IT",2,1,5783,1,10983,0,0
"27","MX",3,1,4161,1,6948,1,12395
"28","AE",3,1,573,0,0,2,1057
"29","IE",1,0,0,0,0,1,3609
"30","LU",3,1,128,1,160,1,779
"31","SI",2,0,0,2,937,0,0
"32","MY",1,0,0,0,0,1,8554
"33","EE",1,0,0,0,0,1,1522
"34","PL",4,0,0,3,7707,1,8563
"35","HN",1,1,335,0,0,0,0
"36","CZ",2,0,0,1,4800,1,6592
"37","CH",2,0,0,1,2457,1,11391
"38","PK",3,1,1318,1,2230,1,1158
"39","JP",6,2,640,4,4090,0,0
"40","DZ",1,0,0,0,0,1,220
"41","RO",1,0,0,1,3098,0,0
"42","IQ",1,0,0,1,4103,0,0
"43","RU",2,0,0,2,20091,0,0
"44","UA",1,0,0,1,7158,0,0
"45","NG",2,1,242,1,423,0,0
"46","CN",2,1,267,1,106,0,0
"47","HU",1,1,893,0,0,0,0
"48","KE",1,0,0,1,549,0,0
"49","CO",1,0,0,1,9552,0,0
"50","NZ",1,1,6,0,0,0,0
"51","IR",1,0,0,1,13600,0,0
"52","CL",1,0,0,1,3292,0,0
"53","MD",1,0,0,1,633,0,0
"54","VN",1,0,0,1,4780,0,0
"55","AS",1,0,0,1,0,0,0
"56","HR",1,1,579,0,0,0,0
"57","IL",1,0,0,1,2631,0,0
"58","MT",1,0,0,1,113,0,0
