"","Country","Avg.Salary.2020","X2020.Covid.19.Average.cases","Avg.Salary.2021","X2021.Covid.19.Average.cases","Avg.Salary.2022","X2022.Covid.19.Average.cases"
"1","US",143251.266666667,53623,143071.08,91462,147494.350364963,158462
"2","GB",103225.25,7350,81404.5,30622,82109.4166666667,41353
"3","DK",45896,458,45445.3333333333,1805,0,0
"4","BO",0,0,0,0,7500,2106
"5","PH",0,0,50000,6484,0,0
"6","AU",0,0,0,0,102787.6,40902
"7","AL",0,0,0,0,2324,486
"8","PT",36494.5,1092,60757,2778,36344.3333333333,17139
"9","NL",42000,2196,57566,6420,82501.2,22525
"10","CA",117104,1,108410.545454545,1,100230.05,1457
"11","IN",14219.6666666667,28158,28956.6470588235,67352,35374.5,40775
"12","FR",50066.4,7164,68456.75,21141,74229.25,104238
"13","BR",0,0,18602.6666666667,40032,4380.5,51624
"14","PR",0,0,0,0,167500,2701
"15","DE",67157,4822,85700.8125,14918,77788.375,106028
"16","AR",0,0,0,0,50000,16537
"17","BE",0,0,85699,4043,69557,10024
"18","ID",0,0,0,0,34773.5,8787
"19","AT",82683.5,986,61467,2513,56690,15623
"20","CU",0,0,0,0,8e+05,618
"21","TR",0,0,20096.6666666667,19928,25000,30855
"22","SG",0,0,89294,606,65663,6625
"23","EG",0,0,0,0,22800,556
"24","GR",47899,381,40189,3018,52950,14715
"25","ES",59304.5,5440,44501.8333333333,13065,58187.6666666667,28171
"26","IT",21669,5783,51064,10983,0,0
"27","MX",33511,4161,2859,6948,60000,12395
"28","AE",115000,573,0,0,92500,1057
"29","IE",0,0,0,0,69825,3609
"30","LU",62726,128,59102,160,10000,779
"31","SI",0,0,63831,937,0,0
"32","MY",0,0,0,0,40000,8554
"33","EE",0,0,0,0,32227,1522
"34","PL",0,0,76246.6666666667,7707,34476,8563
"35","HN",20000,335,0,0,0,0
"36","CZ",0,0,69999,4800,31153,6592
"37","CH",0,0,5882,2457,121183,11391
"38","PK",8000,1318,12000,2230,20000,1158
"39","JP",150844.5,640,95768.75,4090,0,0
"40","DZ",0,0,0,0,1e+05,220
"41","RO",0,0,60000,3098,0,0
"42","IQ",0,0,1e+05,4103,0,0
"43","RU",0,0,157500,20091,0,0
"44","UA",0,0,13400,7158,0,0
"45","NG",10000,242,50000,423,0,0
"46","CN",43331,267,1e+05,106,0,0
"47","HU",35735,893,0,0,0,0
"48","KE",0,0,9272,549,0,0
"49","CO",0,0,21844,9552,0,0
"50","NZ",125000,6,0,0,0,0
"51","IR",0,0,4000,13600,0,0
"52","CL",0,0,40038,3292,0,0
"53","MD",0,0,18000,633,0,0
"54","VN",0,0,4000,4780,0,0
"55","AS",0,0,18053,0,0,0
"56","HR",45618,579,0,0,0,0
"57","IL",0,0,119059,2631,0,0
"58","MT",0,0,28369,113,0,0
