work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,covid_mean_cases
2022,EX,FT,Machine Learning Scientist,200000,US,100,US,S,158462
2022,EX,FT,Machine Learning Scientist,180000,US,100,US,S,158462
2022,EX,FT,AI Scientist,200000,US,100,US,S,158462
2022,SE,FT,Data Scientist,204100,US,0,US,M,158462
2022,SE,FT,Data Scientist,136100,US,0,US,M,158462
2022,SE,FT,Analytics Engineer,250000,US,0,US,M,158462
2022,SE,FT,Analytics Engineer,63000,US,0,US,M,158462
2022,MI,FT,Data Scientist,122250,GB,0,GB,M,41353
2022,MI,FT,Data Scientist,114609,GB,0,GB,M,41353
2021,EN,PT,Computer Vision Software Engineer,19073,DK,50,DK,L,1805
2022,SE,FT,Data Scientist,191475,US,100,US,M,158462
2022,SE,FT,Data Scientist,141525,US,100,US,M,158462
2022,SE,FT,Data Scientist,191475,US,100,US,M,158462
2022,SE,FT,Data Scientist,141525,US,100,US,M,158462
2022,SE,FT,Data Scientist,191475,US,100,US,M,158462
2022,SE,FT,Data Scientist,141525,US,100,US,M,158462
2022,SE,FT,Data Specialist,95000,US,100,US,M,158462
2022,SE,FT,Data Specialist,70000,US,100,US,M,158462
2022,MI,FT,Applied Machine Learning Scientist,75000,BO,100,US,M,158462
2022,MI,CT,Analytics Engineer,7500,BO,50,BO,M,2106
2022,MI,FT,Data Analyst,113000,US,0,US,L,158462
2022,SE,FT,Data Scientist,170000,US,100,US,M,158462
2022,SE,FT,Data Scientist,130000,US,100,US,M,158462
2022,MI,FT,Data Analytics Consultant,113000,US,100,US,L,158462
2022,MI,FT,Product Data Analyst,140000,US,100,US,M,158462
2021,SE,FT,Data Analyst,50000,PH,100,PH,S,6484
2022,MI,FT,BI Data Analyst,54840,AU,100,AU,M,40902
2022,SE,FT,Data Scientist,175000,US,0,US,M,158462
2022,SE,FT,Data Scientist,140000,US,0,US,M,158462
2022,EN,FT,3D Computer Vision Researcher,2324,AX,0,AL,L,486
2022,SE,FT,Lead Data Scientist,30615,PT,50,PT,S,17139
2022,SE,FT,Analytics Engineer,250000,US,0,US,M,158462
2022,SE,FT,Analytics Engineer,63000,US,0,US,M,158462
2022,SE,FT,Data Scientist,160000,US,0,US,L,158462
2022,SE,FT,Data Scientist,119300,US,0,US,L,158462
2022,MI,FT,Research Scientist,145000,US,50,US,L,158462
2022,SE,FT,Data Engineer,105000,US,0,US,M,158462
2022,SE,FT,Data Engineer,90000,US,0,US,M,158462
2022,SE,FT,ETL Developer,146200,US,100,US,M,158462
2022,SE,FT,ETL Developer,124270,US,100,US,M,158462
2022,MI,FT,Data Scientist,225000,US,0,US,M,158462
2022,MI,FT,Data Scientist,160000,US,0,US,M,158462
2022,MI,FT,Data Scientist,55860,NL,100,NL,S,22525
2022,SE,FT,Data Engineer,185800,CA,100,CA,M,1457
2022,SE,FT,Data Engineer,137400,CA,100,CA,M,1457
2022,SE,FT,Analytics Engineer,245000,US,0,US,M,158462
2022,SE,FT,Analytics Engineer,180000,US,0,US,M,158462
2022,SE,FT,Analytics Engineer,203500,US,0,US,M,158462
2022,SE,FT,Analytics Engineer,152000,US,0,US,M,158462
2022,SE,FT,Data Engineer,250000,US,0,US,M,158462
2022,SE,FT,Data Engineer,63000,US,0,US,M,158462
2022,SE,FT,Machine Learning Infrastructure Engineer,186000,US,100,US,M,158462
2022,SE,FT,Machine Learning Infrastructure Engineer,148800,US,100,US,M,158462
2022,SE,FT,Lead Machine Learning Engineer,97406,IN,50,IN,L,40775
2022,MI,FT,Machine Learning Engineer,132438,GB,50,GB,L,41353
2022,EN,FT,Data Scientist,82000,US,0,US,L,158462
2022,EN,PT,Data Scientist,110000,DO,100,FR,M,104238
2022,MI,FT,Applied Machine Learning Scientist,173000,US,50,US,M,158462
2022,SE,FT,Data Scientist,203500,US,0,US,M,158462
2022,SE,FT,Data Scientist,152000,US,0,US,M,158462
2022,SE,FT,Machine Learning Engineer,186000,US,100,US,M,158462
2022,SE,FT,Machine Learning Engineer,148800,US,100,US,M,158462
2022,EN,FT,BI Data Analyst,6322,BR,100,BR,L,51624
2022,MI,FT,Data Science Manager,158000,US,100,US,M,158462
2022,MI,FT,Data Science Manager,134000,US,100,US,M,158462
2022,SE,FT,Data Scientist,170000,US,100,US,M,158462
2022,SE,FT,Data Scientist,120000,US,100,US,M,158462
2022,EX,FT,Analytics Engineer,200000,US,100,US,M,158462
2022,EX,FT,Analytics Engineer,150000,US,100,US,M,158462
2022,SE,FT,Data Analyst,216200,US,0,US,M,158462
2022,SE,FT,Data Analyst,144100,US,0,US,M,158462
2022,MI,FT,Data Scientist,118166,NL,0,NL,M,22525
2022,MI,FT,Data Scientist,91310,NL,0,NL,M,22525
2022,SE,FT,ETL Developer,250000,US,0,US,M,158462
2022,SE,FT,ETL Developer,63000,US,0,US,M,158462
2022,SE,FT,Data Engineer,135000,US,100,US,M,158462
2022,SE,FT,Data Engineer,85000,US,100,US,M,158462
2022,SE,FT,Machine Learning Engineer,135000,US,100,US,M,158462
2022,SE,FT,Machine Learning Engineer,85000,US,100,US,M,158462
2022,SE,FT,Data Science Manager,206000,US,100,US,M,158462
2022,SE,FT,Data Science Manager,175100,US,100,US,M,158462
2022,SE,FT,Machine Learning Engineer,189650,US,0,US,M,158462
2022,SE,FT,Machine Learning Engineer,164996,US,0,US,M,158462
2022,SE,FT,Data Architect,149040,US,100,US,M,158462
2022,SE,FT,Data Architect,113900,US,100,US,M,158462
2022,SE,FT,Data Engineer,154000,US,100,US,M,158462
2022,SE,FT,Data Engineer,126000,US,100,US,M,158462
2022,SE,FT,Machine Learning Engineer,200000,US,100,US,L,158462
2022,SE,FT,Machine Learning Engineer,150000,US,100,US,L,158462
2022,SE,FT,Data Engineer,195700,US,0,US,M,158462
2022,SE,FT,Data Engineer,130500,US,0,US,M,158462
2022,SE,FT,Analytics Engineer,170000,US,100,US,M,158462
2022,SE,FT,Analytics Engineer,135000,US,100,US,M,158462
2022,MI,FT,Data Engineer,101875,GB,0,GB,M,41353
2022,MI,FT,Data Engineer,76406,GB,0,GB,M,41353
2022,SE,FT,Data Analyst,117000,US,100,US,M,158462
2022,SE,FT,Data Analyst,99450,US,100,US,M,158462
2022,SE,FT,Data Engineer,200000,PR,100,PR,M,2701
2022,SE,FT,Data Engineer,135000,PR,100,PR,M,2701
2022,SE,FT,Machine Learning Engineer,193900,US,0,US,M,158462
2022,SE,FT,Machine Learning Engineer,129300,US,0,US,M,158462
2022,EN,FT,Machine Learning Engineer,57304,GB,100,GB,S,41353
2022,SE,FT,Data Analyst,89140,GB,0,GB,M,41353
2022,SE,FT,Data Analyst,63672,GB,0,GB,M,41353
2022,SE,FT,Data Analyst,175000,US,100,US,M,158462
2022,SE,FT,Data Analyst,130000,US,100,US,M,158462
2022,SE,FT,Data Engineer,188100,US,0,US,M,158462
2022,SE,FT,Data Engineer,139860,US,0,US,M,158462
2022,SE,FT,Machine Learning Engineer,248700,US,0,US,M,158462
2022,SE,FT,Machine Learning Engineer,167100,US,0,US,M,158462
2022,MI,FT,Data Analyst,5844,IN,100,IN,S,40775
2022,SE,FT,Data Scientist,123400,US,0,US,M,158462
2022,SE,FT,Data Scientist,88100,US,0,US,M,158462
2022,MI,FT,BI Data Analyst,51563,DE,100,DE,S,106028
2022,SE,FT,Data Scientist,245000,US,0,US,M,158462
2022,SE,FT,Data Scientist,205000,US,0,US,M,158462
