"","Country.Name","Avg.Salary.2020","Avg.covid.cases.2020","Avg.Salary.2021","Avg.covid.cases.2021","Avg.Salary.2022","Avg.covid.cases.2022"
"1","US",143251.266666667,53623,143071.08,91462,147494.350364963,158462
"2","GB",103225.25,7350,81404.5,30622,82109.4166666667,41353
"3","PT",36494.5,1092,60757,2778,36344.3333333333,17139
"4","NL",42000,2196,57566,6420,82501.2,22525
"5","CA",117104,1,108410.545454545,1,100230.05,1457
"6","IN",14219.6666666667,28158,28956.6470588235,67352,35374.5,40775
"7","FR",50066.4,7164,68456.75,21141,74229.25,104238
"8","DE",67157,4822,85700.8125,14918,77788.375,106028
"9","AT",82683.5,986,61467,2513,56690,15623
"10","GR",47899,381,40189,3018,52950,14715
"11","ES",59304.5,5440,44501.8333333333,13065,58187.6666666667,28171
"12","MX",33511,4161,2859,6948,60000,12395
"13","LU",62726,128,59102,160,10000,779
"14","PK",8000,1318,12000,2230,20000,1158
